type,label,value,from,to
answer,"Agricultural structures, buildings in the landscape",E04.01,E04,
answer,Military constructions and buildings in the landscape,E04.02,E04,
answer,Storage of materials,E05,E,
answer,"Other urbanisation, industrial and similar activities",E06,E,E06
answer,demolishment of buildings & human structures ,E06.01,E06,
answer,"reconstruction, renovation of buildings",E06.02,E06,
answer,Biological resource use other than agriculture & forestry,F,root,F
answer,Marine and Freshwater Aquaculture,F01,F,F01
answer,"intensive fish farming, intensification ",F01.01,F01,
answer,suspension culture,F01.02,F01,
answer,bottom culture,F01.03,F01,
answer,Fishing and harvesting aquatic ressources,F02,F,F02
answer,Professional passive fishing ,F02.01,F02,F02.01
answer,potting,F02.01.01,F02.01,
answer,netting,F02.01.02,F02.01,
answer,demersal longlining,F02.01.03,F02.01,
answer,pelagic longlining,F02.01.04,F02.01,
answer,Professional active fishing ,F02.02,F02,F02.02
answer,benthic or demersal trawling,F02.02.01,F02.02,
answer,pelagic trawling,F02.02.02,F02.02,
answer,demersal seining,F02.02.03,F02.02,
answer,purse seining,F02.02.04,F02.02,
answer,benthic dredging,F02.02.05,F02.02,
answer,Leisure fishing,F02.03,F02,F02.03
answer,bait digging / collection,F02.03.01,F02.03,
answer,pole fishing,F02.03.02,F02.03,
answer,spear-fishing,F02.03.03,F02.03,
answer,Hunting and collection of wild animals (terrestrial),F03,F,F03
answer,Hunting,F03.01,F03,F03.01
answer,damage caused by game (excess population density),F03.01.01,F03.01,
answer,Taking and removal of animals (terrestrial),F03.02,F03,F03.02
answer,"collection of animals (insects, reptiles, amphibians.....)",F03.02.01,F03.02,
answer,taking from nest (e.g. falcons),F03.02.02,F03.02,
answer,"trapping, poisoning, poaching",F03.02.03,F03.02,
answer,predator control,F03.02.04,F03.02,
answer,accidential capture,F03.02.05,F03.02,
answer,other forms of taking animals,F03.02.09,F03.02,
answer,"Taking / Removal of terrestrial plants, general",F04,F,F04
answer,pillaging of floristic stations,F04.01,F04,
answer,"collection (fungi, lichen, berries etc.)",F04.02,F04,F04.02
answer,hand raking,F04.02.01,F04.02,
answer,hand collection,F04.02.02,F04.02,
answer,Illegal taking/ removal of marine fauna,F05,F,F05
answer,dynamite,F05.01,F05,
answer,date mussel-fishing,F05.02,F05,
answer,poisons,F05.03,F05,
answer,poaching,F05.04,F05,
answer,shooting,F05.05,F05,
answer,removal for collection purposes,F05.06,F05,
answer,other (i.e. drift nets),F05.07,F05,
answer,"Hunting, fishing or collecting activities not referred to above",F06,F,F06
answer,game/ bird breeding station,F06.01,F06,
answer,Human intrusions and disturbances,G,root,G
answer,"Outdoor sports and leisure activities, recreational activities",G01,G,G01
answer,nautical sports,G01.01,G01,G01.01
answer,motorized nautical sports,G01.01.01,G01.01,
answer,non-motorized nautical sports,G01.01.02,G01.01,
answer,"walking, horseriding and non-motorised vehicles",G01.02,G01,
answer,motorised vehicles,G01.03,G01,G01.03
answer,regular motorized driving,G01.03.01,G01.03,
answer,off-road motorized driving,G01.03.02,G01.03,
answer,"mountaineering, rock climbing, speleology",G01.04,G01,G01.04
answer,mountaineering & rock climbing,G01.04.01,G01.04,
answer,speleology,G01.04.02,G01.04,
answer,recreational cave visits ,G01.04.03,G01.04,
answer,"gliding, delta plane, paragliding, ballooning",G01.05,G01,
answer,"skiing, off-piste",G01.06,G01,
answer,"scubadiving, snorkelling",G01.07,G01,
answer,other outdoor sports and leisure activities,G01.08,G01,
answer,Sport and leisure structures,G02,G,G02
answer,golf course,G02.01,G02,
answer,skiing complex,G02.02,G02,
answer,stadium,G02.03,G02,
